id,naics,business_type,company,technology,tech_category,workflow_step,use_description,reported_effect,effect_type,claim_type,source_url,date_collected,notes
11,238220,field service (cross-industry),industry-wide,FSM software (any),FSM platform,cross-cutting,Adoption gap by firm size,70% large enterprise vs 50% SME adoption,adoption-rate,survey-aggregator,https://fieldservicesoftware.io/blog/field-service-industry-statistics/,2026-07-18,The gap below 50% SME is the Advisor-Builder target zone
12,238220,field service (cross-industry),industry-wide,FSM software market,market-size,cross-cutting,Market growth projection,13.3% CAGR through 2030 to $11.78B,market-growth,market-research,https://www.mordorintelligence.com/industry-reports/field-service-management-market,2026-07-18,
13,238220,all US businesses,industry-wide (Census BTOS),AI (any),AI general,cross-cutting,National AI adoption tracking by firm size and sector,AI use 17-20% overall; <20% for firms with <=4 employees vs 37% for 250+,adoption-rate,government-survey,https://www.census.gov/library/stories/2026/05/ai-use-businesses.html,2026-07-18,Highest-quality claim type in this file; biweekly refresh available
14,238220,home services,industry-wide (Jobber platform),Digital payments,payments,7-invoice-payment,Card/online payment on invoice,>51% of Jobber-processed transactions digital Q1 2026 +7% YoY,adoption-rate,platform-transaction-data,https://www.prnewswire.com/news-releases/home-service-demand-accelerates-in-q1-2026-as-new-work-growth-outpaces-prior-year-across-every-major-segment-302776857.html,2026-07-18,Measured transaction data across 100k+ businesses - strong claim type
15,238220,home services,industry-wide (Jobber platform),Optional line items / tiered pricing,pricebook,3-estimate,Good-better-best and optional add-on line items on quotes,Upsell rates 25-50% where used; only 16% of pros offer tiered pricing,upsell-rate,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,Direct evidence for Day 1 waste finding: documented extras get paid
16,238220,home services,industry-wide (Jobber platform),n/a (demand signal),market-signal,cross-cutting,New work volume tracking,New work growth accelerated YoY across every major segment Q1 2026,market-growth,platform-transaction-data,https://www.prnewswire.com/news-releases/home-service-demand-accelerates-in-q1-2026-as-new-work-growth-outpaces-prior-year-across-every-major-segment-302776857.html,2026-07-18,
17,238220,HVACR,industry-wide (ACCA),AI (multiple),AI general,cross-cutting,Trade association assessment of AI in HVACR operations,AI implementation moved from experimental to operational,adoption-maturity,trade-association,https://hvac-blog.acca.org/ai-implementation-moves-from-experimental-to-operational-in-hvacr-industry/,2026-07-18,Qualitative but from the industry's own association
18,238220,home services,industry-wide (Jobber survey n=1050),AI (any),AI general,cross-cutting,Owner-reported AI use in operations,52% of blue-collar owners use AI; 27% plan within a year,adoption-rate,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,CONFLICTS with Census BTOS <20% small-firm AI use - different population and definition; see companion note
19,238220,home services,industry-wide (Jobber survey),AI (any),AI general,3-estimate,Top owner AI uses,Quoting 54%; invoicing 52%; business writing 51%; marketing 46%; customer follow-up 35%,use-distribution,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,AI lands on paperwork steps first - estimate and invoice - not field work
20,238220,home services,industry-wide (Jobber survey),AI (any),AI general,cross-cutting,AI use by performance cohort,88% of high-confidence businesses use AI vs 27% of low-confidence,adoption-rate,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,Correlation not causation - report itself flags this; better-managed firms adopt more
21,238220,home services,industry-wide (Jobber survey),Lead response (any tech),process-metric,1-first-contact,Lead response speed vs customer expectation,60% reply same day; only 20% within the hour; >55% of customers expect within the hour,response-gap,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,The gap between 20% delivery and 55% expectation is Lane A quantified
22,238220,home services,industry-wide (Jobber survey),Quoting practice,process-metric,3-estimate,Quote win rates,69% of pros win >50% of quotes; 36% close >70%,conversion-rate,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,
23,238220,home services,industry-wide (Jobber survey),Pricing practice,pricebook,3-estimate,Price increases by revenue band,65% raised prices last year; 80% among $500K+ businesses; pricing confidence 55% overall vs 69% at $500K+,pricing-behavior,platform-report,https://www.getjobber.com/home-service-trends-report/,2026-07-18,
24,238220,contracting,industry-wide (Jobber platform),n/a (demand signal),market-signal,cross-cutting,Contracting segment quarterly trajectory,Revenue Jan -3% to Mar +10% YoY; new work Jan -4% to Mar +8%,market-growth,platform-transaction-data,https://www.getjobber.com/home-service-reports/may-2026/,2026-07-18,Q1 2026; official Jobber report per Codex row-14 correction
25,238220,construction,industry-wide (Jobber platform),n/a (demand signal),market-signal,cross-cutting,Construction segment quarterly trajectory and formation,Revenue and new work Mar +7% YoY; construction business formation +12% YoY Q1,market-growth,platform-transaction-data,https://www.getjobber.com/home-service-reports/may-2026/,2026-07-18,New-entrant growth means more small owner-operators entering at low tech maturity
26,238220,plumbing/HVAC contractors,industry-wide (US),n/a (market structure),market-size,cross-cutting,National industry size,~88.7K active companies (~104.8K establishments 2020 Census); ~1.03M employed; SBA small-business standard $19M receipts,market-structure,industry-directory,https://www.naics.com/naics-code-description/?code=238220,2026-07-18,Nearly every firm is SBA-small - the whole industry is the target maturity band
27,238220,all US businesses,industry-wide (Census BTOS),AI (any),AI general,cross-cutting,AI Supplement measurement scope,Nov 2025 supplement measures AI use across 15 business functions,methodology,government-survey,https://www.census.gov/programs-surveys/btos.html,2026-07-18,Construction-sector cut requires BTOS data download; Census API key (free) needed for CBP pulls - registration parked
28,238220,residential+commercial HVAC,Del-Air,ServiceTitan,FSM platform,all-steps,Unified 8 locations 600 employees 400+ trucks on one platform incl payroll,$140M revenue operation running on single FSM platform,scale-context,vendor-case-study,https://www.servicetitan.com/blog/hvac-success-stories,2026-07-18,Enterprise-end anchor - shows platform ceiling not a growth claim
29,238220,residential HVAC,Trio Heating & Air,ServiceTitan,FSM platform,5-work-performed,Job costing and technician performance tracking from launch,Grew 56%; $10M revenue two years after opening; pacing $12M,revenue,vendor-case-study,https://www.servicetitan.com/blog/hvac-success-stories,2026-07-18,Bay Area; new-entrant that started digital - contrast with paper-first firms
30,238220,residential HVAC+plumbing,Goettl Air Conditioning & Plumbing,ServiceTitan,FSM platform,cross-cutting,Centralized data and real-time performance metrics across 5+ metros,$107M revenue; employees +12% in one year; 340 employees averaging $313750 revenue each,revenue-per-employee,vendor-case-study,https://www.servicetitan.com/blog/hvac-success-stories,2026-07-18,Revenue-per-employee ~$314K is a usable benchmark ceiling
31,238220,residential HVAC,Yarbrough & Sons,ServiceTitan Marketing Pro,marketing-automation,1-first-contact,Campaign tracking tied to revenue; profit-sharing off tracked margins,First $10.1M year (2023); 7-year avg tenure; <15% churn; $120K+ profit-sharing paid,revenue+retention,vendor-case-study,https://www.servicetitan.com/blog/hvac-success-stories,2026-07-18,Retention numbers matter - tech-enabled margin visibility funded profit sharing
32,238220,residential HVAC,Medley Heating & Air Conditioning,ServiceTitan,FSM platform,cross-cutting,Scheduling automation customer communication technician coaching,Hit 2021 revenue target within first eight months of 2022; higher close rates and billable-hour efficiency,revenue,vendor-case-study,https://www.servicetitan.com/blog/hvac-success-stories,2026-07-18,Named source for the earlier generic claim in search results
33,238220,plumbing+HVAC,Riley Plumbing Heating & Air,ServiceTitan Virtual Agents,AI voice agent,1-first-contact,AI virtual agents handling inbound call booking,Call bookings grew to 80%,booking-rate,vendor-case-study,https://www.servicetitan.com/case-studies/riley-virtual-agents,2026-07-18,Second named AI-voice booking case alongside Bill Joplin's
34,238220,residential HVAC,Yost & Campbell,Avoca AI CSR + Analytics/Coach,AI voice agent,1-first-contact,AI answers inbound calls books jobs and coaches CSRs,Revenue +20%; 50%+ of calls booked by AI; nine after-hours answering vendors reduced to zero,revenue+booking-rate,vendor-case-study,https://www.avoca.ai/customers/granite-comfort-people,2026-07-18,Primary-source detail for row 8; vendor-consolidation effect is a hidden cost saving
35,238220,handyman/home services,OC Tasker,Housecall Pro,FSM platform,1-first-contact,Online booking and job management,Jobs booked +90% year over year,booking-rate,vendor-testimonial,https://www.housecallpro.com/about/testimonials-reviews/,2026-07-18,Names the row 6 unnamed customer per Codex correction - supersedes row 6
36,238210,electrical,On Time Electric,Housecall Pro,FSM platform,7-invoice-payment,Admin automation replacing manual paperwork,Saves 5-10 hours/week - about 500 hours/year,time-saved,vendor-testimonial,https://www.housecallpro.com/about/testimonials-reviews/,2026-07-18,Adjacent NAICS 238210; time-saved is the owner-facing currency for small shops
37,238220,plumbing,Frankie's Plumbing,Jobber,FSM platform,all-steps,Replaced paper schedules with FSM platform,Grew from paper scheduling to $800K revenue,revenue,vendor-case-study,https://www.getjobber.com/customers/,2026-07-18,Small-end 238220 case - the paper-to-platform maturity jump
38,238210,electrical,Vancity Electric,Jobber,FSM platform,all-steps,Full business management on FSM platform,Built $1.4M business at 50% profit margins,revenue+margin,vendor-case-study,https://www.getjobber.com/customers/,2026-07-18,Adjacent NAICS 238210; margin figure is rare and notable if real
39,561730,tree service,Cochrane Tree Care,Jobber,FSM platform,7-invoice-payment,Invoice capture - stopped losing/missing invoices,5x revenue growth attributed to reduced missed invoices,revenue,vendor-case-study,https://www.getjobber.com/customers/,2026-07-18,Outside 238220 but the mechanism IS Lane B - undocumented work never billed; pattern-transfer evidence
